tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
817777686764523521,Dido,pupper,13.0,10,1.3,10533,2605
815966073409433600,,pupper,13.0,10,1.3,21921,8200
814986499976527872,Cooper,pupper,11.0,10,1.1,7508,1242
811386762094317568,Craig,pupper,11.0,10,1.1,20563,6235
808733504066486276,,pupper,12.0,10,1.2,7763,2109
808106460588765185,Burke,pupper,12.0,10,1.2,8667,2155
807621403335917568,Ollie,pupper,14.0,10,1.4,14348,3530
803638050916102144,,pupper,13.0,10,1.3,10777,4059
801115127852503040,Bones,pupper,12.0,10,1.2,7943,2058
800459316964663297,,pupper,12.0,10,1.2,9363,2132
797971864723324932,,pupper,12.0,10,1.2,11398,3034
794205286408003585,Laika,pupper,14.0,10,1.4,9097,3251
779377524342161408,,pupper,12.0,10,1.2,8567,3010
778039087836069888,,pupper,12.0,10,1.2,8290,2562
778027034220126208,Sophie,pupper,11.27,10,1.13,6396,1555
776477788987613185,Huck,pupper,11.0,10,1.1,8599,2678
776113305656188928,Sampson,pupper,11.0,10,1.1,11495,4208
773985732834758656,Winnie,pupper,11.0,10,1.1,10479,3731
773547596996571136,Chelsea,pupper,11.0,10,1.1,21559,5945
772193107915964416,Willem,pupper,12.0,10,1.2,5862,1338
771004394259247104,,pupper,12.0,10,1.2,,
765371061932261376,Louie,pupper,11.0,10,1.1,6878,2093
759793422261743616,Lila,pupper,12.0,10,1.2,5781,1841
757597904299253760,,pupper,11.0,10,1.1,0,288
756939218950160384,Jax,pupper,12.0,10,1.2,6432,1923
755955933503782912,,pupper,12.0,10,1.2,7078,2756
751456908746354688,,pupper,12.0,10,1.2,3106,963
750868782890057730,Milo,pupper,11.0,10,1.1,4619,1308
750506206503038976,Malcolm,pupper,8.0,10,0.8,4292,1103
750383411068534784,Zoe,pupper,9.0,10,0.9,4401,1094
750071704093859840,,pupper,10.0,10,1.0,7548,3177
749417653287129088,Finn,pupper,11.0,10,1.1,5898,1574
748575535303884801,,pupper,6.0,10,0.6,5855,1907
747963614829678593,,pupper,10.0,10,1.0,5576,2049
746056683365994496,Arlen,pupper,11.0,10,1.1,3442,780
743222593470234624,,pupper,12.0,10,1.2,5964,1830
742465774154047488,,pupper,14.0,10,1.4,6974,3745
742150209887731712,Edmund,pupper,8.0,10,0.8,4903,1472
741743634094141440,Aqua,pupper,11.0,10,1.1,7841,2613
741067306818797568,,pupper,12.0,10,1.2,9173,2940
740676976021798912,Baloo,pupper,11.0,10,1.1,17424,6502
739606147276148736,Benji,pupper,9.0,10,0.9,5190,1576
737310737551491075,,pupper,13.0,10,1.3,14041,7050
736365877722001409,Rory,pupper,11.0,10,1.1,3817,1177
735648611367784448,,pupper,12.0,10,1.2,3881,1049
735137028879360001,Buckley,pupper,9.0,10,0.9,2996,925
733109485275860992,,pupper,12.0,10,1.2,51153,16241
730573383004487680,Rooney,pupper,10.0,10,1.0,4663,2023
728035342121635841,,pupper,12.0,10,1.2,4348,1581
728015554473250816,Rueben,pupper,11.0,10,1.1,3947,1042
727524757080539137,,pupper,10.0,10,1.0,4274,1152
727314416056803329,,pupper,11.0,10,1.1,3186,708
725786712245440512,Lillie,pupper,11.0,10,1.1,3988,1303
724405726123311104,Ashleigh,pupper,10.0,10,1.0,5055,1584
724004602748780546,Luther,pupper,11.0,10,1.1,4000,1461
721001180231503872,Oliver,pupper,11.0,10,1.1,2418,583
720340705894408192,Derek,pupper,10.0,10,1.0,2741,925
719704490224398336,Clyde,pupper,12.0,10,1.2,4341,1353
717790033953034240,,pupper,10.0,10,1.0,2732,1040
717009362452090881,Smokey,pupper,10.0,10,1.0,3095,912
714606013974974464,,pupper,12.0,10,1.2,3479,878
713900603437621249,,pupper,99.0,90,1.1,2722,696
711968124745228288,Winston,pupper,10.0,10,1.0,7707,2194
711008018775851008,Chuckles,pupper,11.0,10,1.1,2868,581
710658690886586372,,pupper,80.0,80,1.0,2221,534
710117014656950272,,pupper,11.0,10,1.1,5222,1882
709901256215666688,,pupper,12.0,10,1.2,639,98
708845821941387268,,pupper,9.0,10,0.9,2848,853
707411934438625280,,pupper,11.0,10,1.1,2203,569
707315916783140866,Finnegus,pupper,10.0,10,1.0,2375,603
706310011488698368,,pupper,12.0,10,1.2,20365,7502
705975130514706432,Adele,pupper,10.0,10,1.0,2973,693
705786532653883392,,pupper,11.0,10,1.1,1853,493
705428427625635840,Ambrose,pupper,11.0,10,1.1,3654,1591
